time,open,high,low,close,atr_1.5,EMA20COLOR,aroon_strength
2024-07-18 07:45:00,18463.11,18466.12,18459.05,18461.13,False,White,Médio
2024-07-18 07:50:00,18461.05,18467.14,18460.04,18467.14,False,White,Médio
2024-07-18 07:55:00,18467.1,18479.13,18467.01,18476.11,False,Green,Neutro
2024-07-18 08:00:00,18478.11,18485.6,18462.2,18462.6,True,White,Neutro
2024-07-18 08:05:00,18462.13,18468.14,18451.14,18467.12,False,White,Neutro
2024-07-18 08:10:00,18466.63,18472.62,18458.21,18471.61,False,White,Neutro
2024-07-18 08:15:00,18471.16,18483.13,18467.63,18477.63,False,Green,Médio
2024-07-18 08:20:00,18476.63,18480.16,18467.63,18477.65,False,Green,Médio
2024-07-18 08:25:00,18478.38,18480.61,18471.58,18473.66,False,Green,Médio
2024-07-18 08:30:00,18474.16,18486.2,18474.16,18482.64,False,Green,Forte Alta
2024-07-18 08:35:00,18482.17,18488.63,18475.26,18488.63,False,Green,Forte Alta
2024-07-18 08:40:00,18489.17,18498.34,18487.6,18497.64,False,Green,Forte Alta
2024-07-18 08:45:00,18498.15,18504.69,18495.18,18499.65,False,Green,Neutro
2024-07-18 08:50:00,18499.67,18503.19,18496.7,18496.7,False,Green,Neutro
2024-07-18 08:55:00,18496.69,18511.68,18496.69,18502.19,False,Green,Neutro
2024-07-18 09:00:00,18512.03,18515.53,18456.52,18462.52,True,White,Neutro
2024-07-18 09:05:00,18461.49,18464.5,18446.1,18460.53,False,Red,Neutro
2024-07-18 09:10:00,18462.01,18485.55,18453.52,18479.54,False,White,Neutro
2024-07-18 09:15:00,18480.54,18480.54,18448.13,18451.12,True,White,Neutro
2024-07-18 09:20:00,18449.51,18468.55,18445.15,18447.55,False,Red,Neutro
2024-07-18 09:25:00,18446.2,18448.15,18399.56,18407.52,True,Red,Neutro
2024-07-18 09:30:00,18407.35,18422.75,18387.73,18420.76,False,Red,Neutro
2024-07-18 09:35:00,18421.73,18431.75,18393.75,18401.72,False,Red,Neutro
2024-07-18 09:40:00,18402.72,18428.75,18398.77,18423.72,False,Red,Neutro
2024-07-18 09:45:00,18422.75,18422.75,18397.76,18403.76,False,Red,Médio
2024-07-18 09:50:00,18402.77,18425.28,18402.74,18407.78,False,Red,Médio
2024-07-18 09:55:00,18408.29,18409.29,18393.77,18407.27,False,Red,Médio
2024-07-18 10:00:00,18407.79,18423.28,18394.26,18402.8,False,Red,Médio
2024-07-18 10:05:00,18401.25,18424.79,18397.79,18409.78,False,Red,Médio
2024-07-18 10:10:00,18410.8,18419.81,18403.4,18413.79,False,Red,Neutro
2024-07-18 10:15:00,18413.35,18427.37,18404.8,18414.82,False,Red,Neutro
2024-07-18 10:20:00,18415.81,18434.82,18405.78,18429.8,False,White,Neutro
